Date of Issue,Subject,Brief Description,url,
27-08-2014,Refinancing of ECB at lower all-in-cost - Simplification of procedure,Powers delegated to the Ad Category I banks to approve cases where Average Maturity Period(AMP) of fresh ECB exceeds the residual maturity of the existing ECB under the automatic route subject to stipulated conditions.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/EAP21270814F.pdf,
11-08-2014,Liberalised Remittance Scheme for resident individuals-clarification,"Requirement of post facto reporting stipulated in terms of  A.P.  (DIR  Series)  Circular  No.32  dated  September  04, 2013 withdrawn",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP19110814F.pdf,
28-07-2014,External Commercial Borrowing (ECB) Policy - Review of all-in-cost ceiling,"All-in-cost ceiling as specified under paragraph 2 ofA.P. (DIR Series) Circular No. 99 dated March 30, 2012 to continue to be applicable tillDecember 31, 2014",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C153F280714F.pdf,
,Trade Credits for Imports into India - Review of all-in-cost ceiling,"All-in-cost ceiling as specified underparagraph 4 ofA.P. (DIR Series) Circular No.28 dated September 11, 2012 willcontinue to be applicable till December 31, 2014",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C152FED280714.pdf,
,Compilation of R-return: Reporting under FETERS-Discontinuation of ENC and Sch 3 to 6 file,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/151CIED280714.pdf,
25-07-2014,Issue of Prepaid Forex Cards- Due Diligence and Adherence to KYC norms,"Clarification that  prepaid  foreign  currency  cards  are  a form of foreign currency, similar to foreign currency notes or travellers cheques. As such,  the  authorised  dealers/FFMCs  selling  pre-paid  foreign  currency  cards  for travel  purposes  are  required  to  comply  with  the  same  rigorous standards  of  due diligence and KYC as they would in case they were selling foreign currency notes/travellers cheques to their customers.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/API14250714F.pdf,
23-07-2014,Foreign investment in India by SEBI registered Long term investors inGovernment dated Securities,"Investment limit in government securities available to FIIs/QFIs/FPIs enhanced by USD 5 billion by correspondingly reducing theamount available to long term investor from USD 10 billion to USD 5 billion within theoverall limit of USD 30 billion. The incremental investment limit of USD 5 billion shall be required to be invested in government bonds with a minimum residual maturity of threeyears. Further, all future investment against the limit vacated when the currentinvestment by an FII/QFI/FPI runs off either through sale or redemption shall also berequired to be made in government bonds with a minimum residual maturity of threeyears.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/13APR230714F.pdf,
22-07-2014,Export of Goods and Services - Project Exports,"AD banks / Exim Bank permitted  to consider awarding post-award approvals without any monetary limit and permitsubsequent changes in the terms of post award approval within the relevantFEMA guidelines / regulations. Further, stipulation  of  time  limit  of  30  days  for  the  exporter  undertaking  Project
Exports and Service contracts abroad to submit form DPX1/ PEX-1 /TCS-1 to the
Approving   Authority   (AA)   for   seeking   post   award   approval   not to  apply
Thenceforth",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C141ED210714F.PDF,
21-07-2014,"Know Your Customer (KYC) Norms/Anti-Money Laundering (AML) Standards/ Combating of Financing of Terrorism (CFT)/ Obligation of Authorised Persons under Prevention of Money Laundering Act (PMLA), 2002 - Money Changing Activities - Recognising E-Aadhaar as an ‘Officially Valid Document’ under PML Rules ","e-KYC made a valid process for KYC verification under Prevention of money Laundering (Maintenance of Records) Rules, 2005 and e-aadhar downloaded from UIDAI website valid as an officially valid document subject to conditions stipulated therein.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C137FD210714.pdf,
,"Know Your Customer (KYC) Norms/Anti-Money Laundering (AML) Standards/ Combating of Financing of Terrorism (CFT)/ Obligation of Authorised Persons under Prevention of Money Laundering Act (PMLA), 2002-Money Transfer Service Scheme -RecognisingE-Aadhaar as an ‘OfficiallyValid Document’ under PML Rules","e-KYC made a valid process for KYC verification under Prevention of money Laundering (Maintenance of Records) Rules, 2005 and e-aadhar downloaded from UIDAI website valid as an officially valid document subject to conditions stipulated therein.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CF138D210714F.pdf,
18-07-2014,Money Transfer Service Scheme - Delegation of work to Regional Offices,Work related to authorization of Indian Agents delegated to the Regional Offices of the Reserve Bank.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIE135FED180714.pdf,
,Rupee Drawing Arrangement - Delegation of work to Regional Offices,Work of granting first time permissionto AD Cat-I Banks for entering into Rupee Drawing Arrangement (RDA) with non-resident exchange house delegated to to the Regional Offices of the Reserve Bank,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C134F180714F.pdf,
,Foreign Direct Investment - Reporting under FDI Scheme ,"Details regarding filing of FC-GPR and FCTRS and usage of NIC Codes as per the NIC 2008 version. Further, contains instructions for accessing a uniform State and District code list for reporting of details of FDI by Indian companies in Form FCGPR.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AD06180714FC.pdf,
17-07-2014,"Liberalised Remittance Scheme (LRS) for resident individuals-Increase in the limit from USD 75,000 to USD 125,000",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C132FD170714F.pdf,
15-07-2014,Foreign Direct Investment (FDI) in India -Issue/Transfer of Shares or Convertible Debentures- Revised pricing guidelines ,Contains new pricing guidelines in  respect  of  transfer/issue  of  shares and  for  exit  from investment  in  equity shares with or without optionality clauses of listed/unlisted Indian companies,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/04APDIR150714.pdf,
14-07-2014,Issue of Partly Paid Shares and Warrants by Indian Company to Foreign Investors,"Revised guidelines regarding eligible instruments and investors, pricing and receipt of balance consideration, reporting, compliance and other conditions",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/03NPR30714FS.pdf,
10-07-2014,"Foreign Exchange Management (Transfer or Issue of Security by a PersonResident outside India) (Twelfth Amendment) Regulations, 2014","Amendment to Schedule 1 - sub-paragraph (iv) added to paragraph 2 regarding issue of equity shares subject to sectoral caps, pricing guidelines, etc whcih are a part of the extant FDI guidelines",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA315FL0914.pdf,
07-07-2014,"Foreign Exchange Management Act, 1999 -Import of Rough, Cut and Polished Diamonds","Clean Credit i.e. credit given by a foreign supplier to its Indian customer/buyer, without any Letter of Credit (Suppliers’ Credit) / Letter of Undertaking(Buyers’ Credit) / Fixed Deposits from any Indian financial institution for importof Rough, Cut and Polished Diamonds, may be permitted for a period notexceeding 180 days from the date of shipment. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/2AIR070714F.pdf,
03-07-2014,Financial Commitment (FC) by Indian Party under Overseas Direct Investments (ODI) - Restoration of Limit,"Restored the limit  of  Overseas Direct Investments (ODI)/ Financial Commitment (FC) to be undertaken by an Indian Party under the automatic route to the limit prevailing, as per the extant FEMA provisions, prior  to  August  14,  2013. However, any  financial commitment  exceeding  USD 1 (one)  billion  (or  its  equivalent)  in a  financial year would  require  prior approval of  the  Reserve  Bank  even when  the  total  FC  of  the Indian Party is within the eligible limit under the automatic route (i.e., within 400% of the net worth as per the last audited balance sheet)
 ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/01APR030714F.pdf,
,"Foreign Exchange Management (Transfer or Issue of anyForeign Security) (Second Amendment) Regulations, 2014","Amendment to Regulations 6, 9, 14, 15, 19 and Schedule V with respect to submission of APR, applications under Form ODI, acquisition of a company incorporated outside India and prior permission of the RBI for a proprietary concern in India to accept shares.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA314FL011214.pdf,
02-07-2014,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Tenth Amendment) Regulations, 2014 ",Amendment to Schedule 1 ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/312FEMA011214.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a PersonResident outside India) (Eleventh Amendment) Regulations, 2014",Amendment to Schedule 5 with respect to removal of the role of registered stock brokers.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FE313280814FL.pdf,
01-07-2014,Master Circular on Non-Resident Ordinary Rupee (NRO) Account,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/07MA010714FS.pdf,
,"Master Circular on Compounding of Contraventions under FEMA, 1999",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/01FEMACC010714.pdf,
,Master Circular on Direct Investment by Residents in Joint Venture (JV) /Wholly Owned Subsidiary (WOS) Abroad,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/02MDI010714FL.PDF,
,Master Circular on Miscellaneous Remittances from India -Facilities for Residents,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/10MR010714FS.pdf,
,Master Circular on External Commercial Borrowings and Trade Credits,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/03ME01072014CB.PDF,
,Master Circular on Money Transfer Service Scheme,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/13MTSS010714FL.PDF,
,Master Circular on Exports of Goods and Services,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/05MEG01072014F.PDF,
,Master Circular on Memorandum of Instructions for Opening and Maintenance of Rupee/ Foreign Currency Vostro Accounts of Non-resident Exchange Houses,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/14MCM0102014F.PDF,
,Master Circular on Establishment of Liaison / Branch /Project Offices in India by Foreign Entities,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/11ELB010714FL.pdf,
,Master Circular on Import of Goods and Services,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/22MA01072014F.PDF,
,Master Circular on Risk Management and Inter-Bank Dealings,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/12MB010714FD.PDF,
,Master Circular on Foreign Investment in India,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/06FIC010714FL.PDF,
,Master Circular on Acquisition and Transfer of Immovable Property in India by NRIs/PIOs/Foreign Nationals of Non-Indian Origin,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/09ATIMPI010714.pdf,
,Master Circular on Remittance Facilities for Non-Resident Indians / Persons of Indian Origin / Foreign Nationals,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/08MCRFNR01072014.pdf,
30-06-2014,"Foreign Exchange Management (Transfer or Issue of Security by a PersonResident outside India) (Ninth Amendment) Regulations, 2014","Amendment to Regulation 2, 5, 6B, 9, 10, Schedule 1, Schedule 2, Schedule 2A and Schedule 4. Regulation 6C added.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/308FEMA140714.pdf,
